,Rank,NCTId,Condition,BriefTitle,InterventionType,LocationCountry,StartDate,CompletionDate,Country_Name
0,1,NCT03313297,"Diabetes Mellitus, Type 2",Glucocorticoids and Skin Healing in Diabetes (GC-SHealD),Drug,United Kingdom,"April 10, 2018","March 13, 2019",United Kingdom
1,2,NCT03137966,Diabetic Foot Ulcer,Effect of Deferoxamine on Wound Healing Rate in Patients With Diabetes Foot Ulcers,Drug,,"August 30, 2021","December 31, 2024",
2,3,NCT01040104,"Age|Cicatrix, Hypertrophic|Fibrosis|Diabetes Mellitus",Prospective Clinical Trials on Skin Wound Healing in Young and Aged Individuals,Other,Austria,July 2009,,Austria
3,4,NCT03994354,Wound Infection,The Wound Infection After Stomy Closure Between Different Methods of Drainage,Procedure,Taiwan,"July 6, 2019","July 7, 2022",Taiwan
4,5,NCT01715012,Third Degree Burns|Diabetes,Study of ST266 in Diabetic Subjects With Deep Burns Managed With Skin Grafts,Biological,United States,October 2012,March 2015,United States
5,6,NCT02361437,Diabetic Ulcers,Safety and Efficacy of Vasculera® in the Healing of Diabetic Skin Ulcers,Dietary Supplement,United States,February 2015,October 2015,United States
6,7,NCT02512159,Foot Ulcer|Varicose Ulcer,Skin Ulcers Treatment With an Handicraft Topical Device,Procedure,,March 2014,January 2015,
7,8,NCT04134143,Diabetes|Diabetic Foot Ulcer|Non-healing Wound,Multiple Applications of ExpressGraft-C9T1 Skin Tissue as a Treatment for Diabetic Foot Ulcers,Biological,United States|United States|United States|United States,"November 7, 2019","December 30, 2020",United States
8,9,NCT04613336,Wound Healing,Efficacy of Topical Heparin Spray on Donor Site Wound Healing Time Compared to Conventional Dressing Among Patients Undergoing Split Thickness Skin Grafting,,Pakistan,"September 30, 2020",February 2021,Pakistan
9,10,NCT00662831,Diabetic Foot Ulcer,Study Of The Effect Of Fragmin In The Treatment Of Neuroischaemic Foot Ulcers In Diabetic Patients,Drug,Austria|Austria|Austria|Belgium|Canada|Canada|Czechia|Czechia|Czechia|Denmark|Denmark|Denmark|Denmark|Denmark|Denmark|Finland|Germany|Greece|Greece|Greece|Greece|Italy|Italy|Italy|Italy|Lithuania|Lithuania|Lithuania|Norway|Poland|Poland|Poland|Poland|Poland|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Spain|Spain|Spain|Sweden|Sweden|Sweden|Sweden|Sweden|Sweden|Sweden|Ukraine|Ukraine|Ukraine|Ukraine|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom,April 2008,October 2010,Austria
10,11,NCT03516474,Diabetic Foot,Using mHealth to Modernize Diabetes Care,Device,,"May 15, 2018","December 31, 2019",
11,12,NCT02378909,Diabetes,Wound Healing Process in Diabetic Neuropathy and Diabetic Neuroischemia,Device,,April 2015,April 2016,
12,13,NCT03602950,"Diabetes, Gestational|Wound Complication",PRP Use in Diabetic Patients Undergoing Cesarean Section,Biological,,"August 1, 2018","February 28, 2019",
13,14,NCT02641548,Diabetes Complications,Silicone Sock as Treatment of Deep Heel Fissures in People With Diabetes,Device,Sweden,December 2015,May 2021,Sweden
14,15,NCT03253328,Diabetes Mellitus|Critical Limb Ischemia|Lower Limb Amputation Knee|Peripheral Arterial Disease,N-Acetyl-Cysteine (NAC) for Healing of Amputation Stumps in the Setting of Diabetes,Drug,United States,"December 15, 2016","December 31, 2021",United States
15,16,NCT00351767,"Foot Ulcer, Diabetic",A Study to Assess the Effect of Topical Recombinant Human Vascular Endothelial Growth Factor for Induction of Healing of Diabetic Foot Ulcers,Drug,,January 2006,,
16,17,NCT02169167,Diabetes Mellitus|Diabetes Complications|Diabetic Neuropathies|Wound Infection,Comparison of Resin Salve and Octenidine in Patients With Neuropathic Diabetic Foot Ulcers,Device,Poland,June 2014,May 2015,Poland
17,18,NCT02091076,"Late Complication From Skin Graft|Infection of Skin Donor Site|Impaired Wound Healing|Pain, Intractable",Efficacy and Safety of Silk Fibroin With Bioactive Coating Layer Dressing,Device,Thailand,March 2014,May 2015,Thailand
18,19,NCT03516422,Diabetes,Investigating Ultrasound Debridement in Wound Care,Procedure,,November 2018,September 2019,
19,20,NCT00739323,Diabetes Mellitus|Healthy Volunteers,Impaired Wound Healing in Diabetic Foot Ulceration,,United States,December 2006,September 2012,United States
20,21,NCT01804478,Diabetes|Healthy,Non-invasive Measurement of Microvascular Blood Flow During Mild External Compression of the Leg,Behavioral,United States,May 2005,February 2013,United States
21,22,NCT02742233,Diabetic Foot Ulcer,Dipeptidyl Peptidase 4 Inhibition Facilitate Healing of Diabetic Ulcers,Drug,China,November 2015,November 2017,China
22,23,NCT00916292,Diabetic Foot Ulcers,Safety Study of Topical Human FGF-1 for Wound Healing,Drug,United States,November 2012,September 2013,United States
23,24,NCT02883751,Diabetes Mellitus|Amputation Stumps|Diabetic Foot,Phototherapy in DM Amputation Ulcers.,Radiation,Brazil,January 2017,December 2020,Brazil
24,25,NCT03250533,Ulcer|Diabetes Mellitus,Analysis of the Effects of LED Phototherapy and Electrical Stimulation in the Healing of Diabetic Ulcers,Device,Brazil,"September 1, 2017","June 30, 2021",Brazil
25,26,NCT04205942,Diabetic Foot,Cold Plasma Therapy for Acceleration of Wound Healing in Diabetic Foot,Device,,"August 17, 2016","April 30, 2024",
26,27,NCT04554316,Scar|Breast Neoplasms|Breast Diseases|Surgical Wound,Aesthetic Effect of Steri-Strip Orientation on Healing and Scar Appearance in Breast Surgery,Device,United States|United States,"November 1, 2020","April 15, 2022",United States
27,28,NCT00034788,Foot Ulcer|Diabetic Foot|Skin Ulcer|Diabetic Neuropathies,A Study on the Efficacy and Safety of Long-Term Treatment and Re-Treatment of Lower Extremity Diabetic Ulcers With REGRANEX,Drug,,December 2000,February 2004,
28,29,NCT03271580,Wound|Bacterial Infections|Diabetes Mellitus|Infected Ulcer of Skin,Biofilm Modified Macrophage Phenotype and Function in Diabetic Wound Healing,Diagnostic Test,United States,"February 1, 2020",September 2021,United States
29,30,NCT00765063,Diabetic Foot Ulcer,The Effect Of Fragmin In The Treatment Of Neuroischaemic Foot Ulcers In Diabetic Patients (A6301086),Drug,Austria|Belgium|Canada|Czech Republic|Czech Republic|Denmark|Germany|Greece|Italy|Norway|Poland|Poland|Poland|Poland|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Sweden|Sweden|Sweden|Sweden|Sweden|Ukraine|Ukraine|Ukraine|United Kingdom,October 2008,October 2010,Austria
30,31,NCT01724710,"Non-pressure Chronic Ulcer of Skin, Not Elsewhere Classified",To Study the Effect of Organic Light Emitting Diodes (OLED) on Cultured Fibroblast,,Taiwan,August 2012,,Taiwan
31,32,NCT04591691,Diabetes|Diabetic Foot|Diabetic Foot Ulcer|Diabetic Wound,C-myc Biomarker Study for Diabetic Foot Ulcers,,United States|United States|United States|United States|United States|United States,"October 14, 2020",January 2023,United States
32,33,NCT02372539,Hyperglycemia|Cancer,Glucose Variability in Cancer Patients Receiving Dexamethasone,Other,United States,January 2015,"October 30, 2020",United States
33,34,NCT03821675,Diabetes|Diabetic Foot Ulcer|Peripheral Neuropathy|Peripheral Arterial Disease,AVAZZIA Electrical Stimulation,Device,United States,"February 28, 2019","December 15, 2021",United States
34,35,NCT04246814,Diabetic Foot Ulcer|Diabetic Foot,Use of Low-level Laser Therapy in the Treatment of Diabetic Foot Ulcers,Device,Brazil,"August 27, 2019","September 18, 2020",Brazil
35,36,NCT03282981,Chronic Diabetic Foot Ulcers|Diabetic Neuropathic Ulcers|Non Healing Wound,Beta Adrenergic Antagonist for the Healing of Chronic DFU,Drug,United States,"June 14, 2018","December 31, 2022",United States
36,37,NCT00288392,Foot Ulcer,"Efficacy of Soluble Beta-1,3/1,6-Glucan Compared to Placebo on Chronic Leg Ulcers in Diabetes Patients",Drug,Russian Federation|Russian Federation,June 2005,September 2006,Russian Federation
37,38,NCT01493895,Diabetic Foot Ulcer,Study Assessing Safety and Efficacy of B-cure Laser Treating Diabetic Chronic Wounds,Device,Israel,,,Israel
