,Rank,NCTId,Condition,BriefTitle,InterventionType,LocationCountry,StartDate
0,1,NCT04383652,COVID,Collection of Coronavirus COVID-19 Outbreak Samples in New South Wales,Other,Australia|Australia|Australia|Australia|Australia|Australia|Australia|Australia|Australia,"May 6, 2020"
1,2,NCT04461925,COVID-19 Pneumonia,Treatment of Coronavirus COVID-19 Pneumonia (Pathogen SARS-CoV-2) With Cryopreserved Allogeneic P_MMSCs and UC-MMSCs,Procedure|Drug|Drug|Drug|Device,Ukraine,"May 2, 2020"
2,3,NCT04404244,Coronavirus COVID-19,Extraordinary Measures for Egyptian Children With Hemato-Oncological Disorders During COVID-19 Pandemic,,Egypt,"January 1, 2020"
3,4,NCT04401644,Diagnoses Disease|Coronavirus,COVID-19: Laser Interferometry for Rapid Single Coronavirus Detection,Diagnostic Test,United Kingdom,June 2020
4,5,NCT04379076,COVID-19|Lymphocytopenia,InterLeukin-7 (CYT107) to Improve Clinical Outcomes in Lymphopenic pAtients With COVID-19 Infection UK Cohort,Drug|Drug,United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom,"May 14, 2020"
5,6,NCT04407689,COVID-19|Lymphocytopenia,InterLeukin-7 to Improve Clinical Outcomes in Lymphopenic pAtients With COVID-19 Infection FR BL Cohort,Drug|Drug,France|France|France|France|France|France,"June 8, 2020"
6,7,NCT04475185,Acute Respiratory Distress Syndrome,Safety and Effectiveness Assessment of the MakAir Artificial Ventilator,Device,France|France,"July 20, 2020"
7,8,NCT04426201,COVID-19|Lymphocytopenia,InterLeukin-7 to Improve Clinical Outcomes in Lymphopenic Patients With COVID-19 Infection ( ILIAD-7-US-O ),Drug|Drug,United States|United States,"December 20, 2020"
8,9,NCT04442178,COVID-19|Lymphocytopenia,InterLeukin-7 to Improve Clinical Outcomes in Lymphopenic pAtients With COVID-19 Infection ( ILIAD-7-US-I ),Drug|Drug,United States|United States|United States|United States|United States,"September 15, 2020"
9,10,NCT04367662,COVID-19,Study of the Vascular Compartment and Hypercoagulability During Coronavirus Infection COVID-19,Procedure,France,"April 9, 2020"
10,11,NCT04432948,Covid-19|Maternal Psychological Distress|Anesthesia,Maternal Psychological Implications of Covid-19 Pandemic and Possible Effect on Anaesthetic Management.,Other|Other|Other,Greece,"May 15, 2020"
11,12,NCT04392778,Covid19|Pneumonia|Multiple Organ Failure|Corona Virus Infection,Clinical Use of Stem Cells for the Treatment of Covid-19,Biological|Biological,Turkey|Turkey,"April 1, 2020"
12,13,NCT04336761,Coronavirus|COVID|Infection Viral,Prevalence of Covid-19 in Children Admitted to Paediatric Emergency Departments During the Pandemic Period in France,Diagnostic Test,France|France|France|France|France|France,"April 15, 2020"
13,14,NCT04361942,COVID-19 Pneumonia,Treatment of Severe COVID-19 Pneumonia With Allogeneic Mesenchymal Stromal Cells (COVID_MSV),Biological|Other,Spain,"May 1, 2020"
14,15,NCT04390269,Genetic Predisposition to Disease,Immunogenetics Predictors With COVID-19,,Egypt,"September 10, 2020"
15,16,NCT04500067,Covid19|Pneumonia,"Intravenous Immunoglobulin (IVIG, Bioven) Efficacy Assess for COVID-19 / SARS-CoV-2 Severe Pneumonia Complex Treatment",Drug,Ukraine|Ukraine|Ukraine|Ukraine|Ukraine|Ukraine|Ukraine|Ukraine|Ukraine,"May 7, 2020"
16,17,NCT04503434,Patient Preference|COVID-19,Patients' Experiences in a Medicalized Hotel for COVID-19 Acute Care Support,,Spain,"May 15, 2020"
17,18,NCT04540029,Prenatal Stress,Measuring Outcomes of Maternal COVID-19-related Prenatal Exposure,Other,Italy,"May 6, 2020"
18,19,NCT04441684,SARS-CoV-2 Serological Status|SARS-CoV-2 Seroprevalence,"Seroprevalence of SARS-CoV-2 in Strasbourg University Hospital, Strasbourg, France (COVID-19)",Diagnostic Test,France,"April 17, 2020"
19,20,NCT04443270,COVID-19,Chloroquine Phosphate Prophylactic Use in Health Personnel Exposed to COVID-19 Patients,Drug,Mexico,"July 27, 2020"
20,21,NCT04609774,Coronavirus Disease (COVID-19),Aerosol Transmission of Severe Acute Respiratory Syndrome Coronavirus of Coronavirus Disease 2019,Other,Argentina,"October 8, 2020"
21,22,NCT04933929,Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2),Personalized Dietary Advice 3 Months After Discharge From Hospitalization in Geriatrics: Effect on Nutritional Status According to Coronavirus Disease 2019 (COVID-19) Status (Positive or Negative) During Hospitalization,Behavioral,France,"March 5, 2021"
22,23,NCT04389476,The Psychological Impact of COVID-19,The Impact and Coping Strategy of COVID-19 Among Taiwan Society and Medical and Nursing Institutes,Other,,"June 15, 2020"
23,24,NCT04388631,Coronavirus Disease 2019,Detection Rate of SARS-CoV-2 in Male Genitourinary System and Its Impact on Male Reproductive Health.,Other,China,"May 10, 2020"
24,25,NCT04337489,Coronavirus,Remote Monitoring Use In Cases Of Suspected COVID-19 (Coronavirus),Device,,"July 28, 2020"
25,26,NCT04292327,Pneumonia Caused by Human Coronavirus,Clinical Progressive Characteristics and Treatment Effects of 2019-novel Coronavirus,,China,"January 1, 2020"
26,27,NCT05005156,Covid19,Phase IIb Trial of Recombinant Novel Coronavirus Vaccine (Adenovirus Type 5 Vector) (Ad5-nCoV) in Adults 18 Years of Age and Older.,Biological,Argentina|Argentina|Argentina|Argentina,"June 24, 2021"
27,28,NCT04988217,Coronavirus Disease 2019,Inhaled Interferon α2b for the Treatment of Coronavirus Disease 19 (COVID-19),Drug|Drug,,August 2021
28,29,NCT04610567,Coronavirus|Inflammation|Covid19,Treatment of Patients With Mild Coronavirus-19 (COVID-19) Disease With Methotrexate Associated to LDL Like Nanoparticles (Nano-COVID19),Drug|Drug|Drug,Brazil|Brazil|Brazil,"October 27, 2020"
29,30,NCT04907981,Covid19,Eye Detection to Identify Novel Coronavirus Infection,Diagnostic Test,China,"January 22, 2021"
30,31,NCT04322682,Corona Virus Infection,Colchicine Coronavirus SARS-CoV2 Trial (COLCORONA),Drug|Drug,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|Brazil|Brazil|Brazil|Brazil|Brazil|Brazil|Canada|Greece|Greece|South Africa|Spain|Spain|Spain|Spain|Spain|Spain,"March 23, 2020"
31,32,NCT04323800,Coronavirus|Convalescence,Convalescent Plasma to Stem Coronavirus (CSSC-001),Biological|Biological,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,"June 10, 2020"
32,33,NCT04438837,Coronavirus Disease 2019 (COVID-19)|Post-Exposure Prophylaxis,Hydroxychloroquine Post-Exposure Prophylaxis for Coronavirus Disease (COVID-19) Among Health-Care Workers,Drug,Israel,July 2020
33,34,NCT04706416,Coronavirus|Covid19,N-Acetyl Glucosamine as Therapeutic Intervention for Coronavirus Disease-19 (COVID-19),Dietary Supplement,United States,"November 14, 2020"
34,35,NCT04280913,Coronavirus Disease 2019,Clinical Outcomes of Patients With COVID19,Other,China,"February 22, 2020"
35,36,NCT04346589,"Pneumonia, Ventilator-Associated|Coronavirus Infection",Convalescent Antibodies Infusion in Critically Ill COVID 19 Patients,Biological,Italy|Italy|Italy|Italy|Italy,"April 15, 2020"
36,37,NCT04403906,COVID|SARS-CoV 2,Somerset and South Essex Coronavirus Antigen Testing,Diagnostic Test,United Kingdom,June 2020
37,38,NCT04308668,Corona Virus Infection|Acute Respiratory Distress Syndrome|SARS-CoV Infection|Coronavirus|Coronavirus Infections,Post-exposure Prophylaxis / Preemptive Therapy for SARS-Coronavirus-2,Drug|Other,United States|United States|Canada|Canada|Canada,"March 17, 2020"
38,39,NCT04424017,COVID|Corona Virus Infection,Sero-prevalence of Coronavirus Disease 2019 (COVID-19) in Healthcare Workers,Biological,Egypt|Egypt,"June 7, 2020"
39,40,NCT04323839,Pregnancy|Coronavirus|COVID-19,COVID-19 PRIORITY (Pregnancy CoRonavIrus Outcomes RegIsTrY),Other|Other,United States,"March 20, 2020"
40,41,NCT04627467,Covid19,Prevention With Chloroquine in Health Personnel Exposed to Infection With Coronavirus Disease 2019 (COVID-19) (TS-COVID),Drug,Colombia,"March 28, 2020"
41,42,NCT04362150,COVID,Long-term Impact of Infection With Novel Coronavirus (COVID-19),,United States,"April 21, 2020"
42,43,NCT04386109,Neonatal COVID-19 Disease,Neonatal Complications of Coronavirus Disease (COVID-19),Other,United Kingdom,"April 1, 2020"
43,44,NCT04422535,Coronavirus Infection|Intensive Care Patients,Effects on the Qt Interval of COVID-19 Coronavirus Infection,,Spain,"May 29, 2020"
44,45,NCT04674644,COVID-19 Pandemic,Analysing the Psychosocial Effects of COVID-19 Pandemic on Dental Professionals Using the Turkish Version of the Fear of COVID-19 and Coronavirus Anxiety Scales,Behavioral,Turkey,"October 16, 2020"
45,46,NCT04588363,Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2)|Multisystem Inflammatory Syndrome in Children (MIS-C)|Coronavirus Disease 2019 (COVID-19),COVID-19: Pediatric Research Immune Network on SARS-CoV-2 and MIS-C,Other,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,"November 19, 2020"
46,47,NCT04510441,Coronavirus,Artificial Intelligence-assisted Diagnosis and Prognostication in COVID-19 Using Electrocardiograms,Other,United Kingdom|United Kingdom|United Kingdom|United Kingdom,"May 26, 2020"
47,48,NCT05037188,Coronavirus Infection|COVID-19,Clinical Study of the Safety and Immunogenicity of a Recombinant Viral Vector AAV5 (Adeno-Associated Virus Type 5 )-RBD (Receptor Binding Domain)-S Vaccine for the Prevention of Coronavirus Infection (COVID-19),Biological|Biological|Biological|Other,Russian Federation|Russian Federation,"August 10, 2021"
48,49,NCT04409509,Coronavirus Disease 2019 (COVID-19),Treatment With CSL312 in Adults With Coronavirus Disease 2019 (COVID-19),Biological|Drug,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,"July 1, 2020"
49,50,NCT04373148,Coronavirus,"Understanding Immunity to SARS-CoV-2, the Coronavirus Causing COVID-19",Other,United States|United States,"April 8, 2020"
50,51,NCT04598581,Severe-Acute-Respiratory-Syndrome-Coronavirus-2 (SARS-CoV-2),"Low Dose Radiation Therapy for Severe-Acute-Respiratory-Syndrome-Coronavirus-2 (SARS-CoV-2), COVID-19",Radiation|Other,Switzerland,"November 2, 2020"
51,52,NCT04951323,Coronavirus Disease 2019 (Covid19)|Hematopoietic Neoplasms,Impact of the Immune System on Response to Anti-Coronavirus Disease 19 (COVID-19) Vaccine in Allogeneic Stem Cell Recipients (Covid Vaccin Allo),Drug,Belgium,"March 22, 2021"
52,53,NCT04547127,COVID-19,A Study to Evaluate Safety and Efficacy of Convalescent Methylene Blue Treated (MBT) Plasma From Donors Recovered From Coronavirus Disease 2019 (COVID-19),Biological|Drug,Spain|Spain|Spain|Spain|Spain|Spain|Spain|Spain|Spain|Spain|Spain|Spain,"April 29, 2020"
53,54,NCT04631172,SARS-CoV-2|Anxiety and Fear|Parents,Covid-19 Anxiety and Phobia Levels of the Parents,Other,Turkey,"May 1, 2020"
54,55,NCT05017805,Liver Disease Chronic,COVID-19 Vaccines in Patients With Chronic Liver Disease,Biological,China,"August 15, 2021"
55,56,NCT04502472,Covid-19,Open-label Treatment of Severe Coronavirus Disease 2019 (COVID-19) With Convalescent Plasma,Biological,United States,"June 6, 2020"
56,57,NCT04331886,COVID-19|Coronavirus,An Observational Study of Patients With Coronavirus Disease 2019,,United States,"April 13, 2020"
57,58,NCT04322279,Coronavirus,Factors Associated With a Positive SARS-CoV-2 Serology in Contact Subjects at High/Moderate Risk of Coronavirus SARS-CoV-2 Infection. COVID19.,Diagnostic Test|Genetic,France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|French Guiana,"March 9, 2020"
58,59,NCT04418531,"Pneumonia, Viral|Corona Virus Infection",Convalescent Antibodies Infusion in COVID 19 Patients,Biological,Italy|Italy|Italy|Italy|Italy|Italy,June 2020
59,60,NCT04339322,"Characteristics Diseases|Outcome, Fatal",Characteristics and Outcome of Coronavirus Disease 2019 (COVID-19) in Egypt,Other,,"May 1, 2020"
60,61,NCT04389944,Coronavirus Disease 2019 Infectious Disease (COVID-19 Infection),Amotosalen-Ultraviolet A Pathogen-Inactivated Convalescent Plasma in Addition to Best Supportive Care and Antiviral Therapy on Clinical Deterioration in Adults Presenting With Moderate to Severe COVID-19,Other,Switzerland,"March 31, 2020"
61,62,NCT04441710,COVID,Caregiver Serological Monitoring Extended Secondarily to Patients With the SARS-CoV-2 Coronavirus,Other,France|France|France|France,"October 27, 2020"
62,63,NCT04321811,Coronavirus,"Behavior, Environment And Treatments for Covid-19",Other,United States,"March 21, 2020"
63,64,NCT04371315,Corona Virus Infection|Pediatric Cancer|Adult Children|Cancer,"Risk Factors, Clinical Characteristics and Outcomes of Acute Infection With Coronavirus 2019 (COVID-19) In Children",,United States,"April 27, 2020"
64,65,NCT04279795,Coronavirus,Detection of 2019 Novel Coronavirus in Multiple Organ System and Its Relationship With Clinical Manifestations,,China,"January 20, 2020"
65,66,NCT04910243,"Covid19|Distress, Emotional",The Practice of Providing Palliative Care in the Situation of the COVID-19 (Coronavirus Disease 2019) Pandemic in Czech Republic,Other,Czechia,"June 1, 2021"
66,67,NCT05012800,COVID-19 Vaccine|Older Adults,Safety and Immunogenicity of COVID-19 Vaccine Administered in Older Adults,Biological,China,"July 28, 2021"
67,68,NCT04421664,Corona Virus Infection|SARS-CoV Infection|Coronavirus,Preemptive Therapy for SARS-Coronavirus-2 (COVID-19 PEP Canada),Drug|Drug,United States|Canada|Canada|Canada|Canada|Canada|Canada|Canada,"March 25, 2020"
68,69,NCT04383899,Coronavirus Infection,Role of Ibuprofen and Other Medicines on Severity of Coronavirus Disease 2019,Other,,"September 30, 2020"
69,70,NCT04847141,COVID-19|Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Infection,A Study to Evaluate the Safety and Efficacy of C19-IG 20% in SARS-CoV-2 Infected Asymptomatic Ambulatory Outpatients,Biological|Drug,Spain|Spain|Spain|Spain|Spain|Spain|Spain|Spain,"April 28, 2021"
70,71,NCT04742725,Coronavirus Disease 2019 (COVID-19),A Study to Evaluate the Efficacy and Safety of Prothione™ Capsules for Mild to Moderate Coronavirus Disease 2019 (COVID-19),Drug|Drug,Rwanda,"May 25, 2021"
71,72,NCT04510623,COVID-19|SARS-CoV2,Host Response Mediators in Coronavirus (COVID-19) Infection,Other|Other,Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada,"March 17, 2020"
72,73,NCT04871789,Covid19,Optimization of Patients Long-term Management After the Coronavirus Infection COVID-19,Diagnostic Test,Russian Federation,"January 20, 2021"
73,74,NCT04739345,Covid19|Corona Virus Infection|Cytokine Storm,New Immune-inflammation Index for Predicting Prognosis of Coronavirus Disease 2019 (COVID- 19) Infection,,Egypt,"December 1, 2020"
74,75,NCT04401033,SARS-CoV 2|COVID,Increased Risk of SARS-CoronaVirus-2 (SARS-CoV-2) Infection Associated With Endoscopy (DECORE Study),Behavioral|Procedure|Procedure,Spain,"May 11, 2020"
75,76,NCT04325919,Coronavirus Infections,Coronavirus Disease 2019 (COVID-19) Study of Hospitalized Patients in Hong Kong,Other,Hong Kong,"February 24, 2020"
76,77,NCT04431466,Coronavirus Infection,A Study to Compare the Efficacy and Safety of Different Doses of Ivermectin for COVID-19,Drug|Other,Brazil|Brazil,"July 1, 2020"
77,78,NCT04987853,Covid19|Corona Virus Infection,"Clinical, Functional, Immunological and Genetic Factors on the Severity of the Course of Coronavirus Infection",Diagnostic Test|Diagnostic Test|Diagnostic Test|Diagnostic Test,Kazakhstan,"June 1, 2021"
78,79,NCT04259892,Coronavirus,Viral Excretion in Contact Subjects at High/Moderate Risk of Coronavirus 2019-nCoV Infection. COVID-19.,Biological,France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|French Guiana,"February 4, 2020"
79,80,NCT04380961,Critical Confirmed Coronavirus Disease (COVID)-19,A Study to Evaluate the Efficacy and Safety of Sirukumab in Confirmed Severe or Critical Confirmed Coronavirus Disease (COVID)-19,Drug|Drug|Other,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,"April 24, 2020"
80,81,NCT04798716,Covid19|Novel Coronavirus Pneumonia|Acute Respiratory Distress Syndrome,The Use of Exosomes for the Treatment of Acute Respiratory Distress Syndrome or Novel Coronavirus Pneumonia Caused by COVID-19,Drug|Drug|Drug,United States,September 2021
81,82,NCT04724850,Coronavirus Disease 2019,Evolution of Coronavirus Disease 2019 (COVID-19) Patients in Extremadura,,,"February 1, 2021"
82,83,NCT04316728,Coronavirus Infections,Clinical Performance of the VivaDiag ™ COVID-19 lgM / IgG Rapid Test in Early Detecting the Infection of COVID-19,Device,Italy,March 2020
