,Continent_Name,Continent_Code,Country_Name
0,Asia,AS,Afghanistan
1,Europe,EU,Albania
2,Antarctica,AN,Antarctica
3,Africa,AF,Algeria
4,Oceania,OC,American Samoa
5,Europe,EU,Andorra
6,Africa,AF,Angola
7,North America,,Antigua and Barbuda
8,Europe,EU,Azerbaijan
9,Asia,AS,Azerbaijan
10,South America,SA,Argentina
11,Oceania,OC,Australia
12,Europe,EU,Austria
13,North America,,Bahamas
14,Asia,AS,Bahrain
15,Asia,AS,Bangladesh
16,Europe,EU,Armenia
17,Asia,AS,Armenia
18,North America,,Barbados
19,Europe,EU,Belgium
20,North America,,Bermuda
21,Asia,AS,Bhutan
22,South America,SA,Bolivia
23,Europe,EU,Bosnia and Herzegovina
24,Africa,AF,Botswana
25,Antarctica,AN,Bouvet Island (Bouvetoya)
26,South America,SA,Brazil
27,North America,,Belize
28,Asia,AS,British Indian Ocean Territory (Chagos Archipelago)
29,Oceania,OC,Solomon Islands
30,North America,,British Virgin Islands
31,Asia,AS,Brunei Darussalam
32,Europe,EU,Bulgaria
33,Asia,AS,Myanmar
34,Africa,AF,Burundi
35,Europe,EU,Belarus
36,Asia,AS,Cambodia
37,Africa,AF,Cameroon
38,North America,,Canada
39,Africa,AF,Cape Verde
40,North America,,Cayman Islands
41,Africa,AF,Central African Republic
42,Asia,AS,Sri Lanka
43,Africa,AF,Chad
44,South America,SA,Chile
45,Asia,AS,China
46,Asia,AS,Taiwan
47,Asia,AS,Christmas Island
48,Asia,AS,Cocos (Keeling) Islands
49,South America,SA,Colombia
50,Africa,AF,Comoros
51,Africa,AF,Mayotte
52,Africa,AF,Congo
53,Africa,AF,Congo
54,Oceania,OC,Cook Islands
55,North America,,Costa Rica
56,Europe,EU,Croatia
57,North America,,Cuba
58,Europe,EU,Cyprus
59,Europe,EU,Czech Republic
60,Africa,AF,Benin
61,Europe,EU,Denmark
62,North America,,Dominica
63,North America,,Dominican Republic
64,South America,SA,Ecuador
65,North America,,El Salvador
66,Africa,AF,Equatorial Guinea
67,Africa,AF,Ethiopia
68,Africa,AF,Eritrea
69,Europe,EU,Estonia
70,Europe,EU,Faroe Islands
71,South America,SA,Falkland Islands (Malvinas)
72,Antarctica,AN,South Georgia and the South Sandwich Islands
73,Oceania,OC,Fiji
74,Europe,EU,Finland
75,Europe,EU,Åland Islands
76,Europe,EU,France
77,South America,SA,French Guiana
78,Oceania,OC,French Polynesia
