,NCTId,Condition,BriefTitle,InterventionType,StartDate,CompletionDate,Country_Name,Continent_Name,Continent_Code
0,NCT01040104,"Age|Cicatrix, Hypertrophic|Fibrosis|Diabetes Mellitus",Prospective Clinical Trials on Skin Wound Healing in Young and Aged Individuals,Other,July 2009,,Austria,Europe,EU
1,NCT00662831,Diabetic Foot Ulcer,Study Of The Effect Of Fragmin In The Treatment Of Neuroischaemic Foot Ulcers In Diabetic Patients,Drug,April 2008,October 2010,Austria,Europe,EU
2,NCT00765063,Diabetic Foot Ulcer,The Effect Of Fragmin In The Treatment Of Neuroischaemic Foot Ulcers In Diabetic Patients (A6301086),Drug,October 2008,October 2010,Austria,Europe,EU
3,NCT02098447,Chronic Diabetic Foot Ulcers,Pilot Study on Auricular Vagus Nerve Stimulation Effects in Chronic Diabetic Wounds,Device,February 2014,"April 13, 2015",Austria,Europe,EU
4,NCT01936337,Psoriasis Vulgaris,"Topical Double-blind, Randomized, Placebo-controlled Study in Psoriasis Patients",Drug,August 2013,July 2014,Austria,Europe,EU
5,NCT01523951,Pain,Topical Local Anaesthesia and Cooling During Capsaicin 8% Patch Application,,January 2012,March 2012,Austria,Europe,EU
6,NCT04753528,Chronic Low-back Pain,Personalized Auricular Vagus Nerve Stimulation in Intractable Chronic Low Back Pain,Device,"April 13, 2021",March 2022,Austria,Europe,EU
7,NCT03334812,Knee Cartilage Lesion,"Study on Safety, Tolerability and Prelimenary Efficacy of LNA043 in Patients Undergoing Autologous Chondrocyte Implantation",Biological,"October 18, 2017","April 5, 2019",Austria,Europe,EU
8,NCT03994354,Wound Infection,The Wound Infection After Stomy Closure Between Different Methods of Drainage,Procedure,"July 6, 2019","July 7, 2022",Taiwan,Asia,AS
9,NCT01724710,"Non-pressure Chronic Ulcer of Skin, Not Elsewhere Classified",To Study the Effect of Organic Light Emitting Diodes (OLED) on Cultured Fibroblast,,August 2012,,Taiwan,Asia,AS
10,NCT00709514,Chronic Diabetic Foot Ulcer,Clinical Evaluation of DCB-WH1 in Healing of Chronic Diabetic Foot Ulcers,Drug,December 2008,March 2012,Taiwan,Asia,AS
11,NCT03679273,Diabetic Foot,Nutritional Supplement on Wound Healing in Diabetic Foot,Dietary Supplement,"October 1, 2018","May 15, 2020",Taiwan,Asia,AS
12,NCT02672436,Diabetic Foot|Foot Ulcer|Diabetes Mellitus|Wounds,ENERGI-F703 for Diabetic Foot Ulcers Phase II Study,Drug,"March 15, 2017","December 26, 2019",Taiwan,Asia,AS
13,NCT03321396,Submucosal Tumor of Gastrointestinal Tract,Hydrogel Injection to Assist Endoscopic Submucosal Dissection,Device,"September 1, 2017","August 20, 2018",Taiwan,Asia,AS
14,NCT01078857,Small-Fiber Neuropathy|Chronic Kidney Disease,Small-fiber Neuropathy in Chronic Kidney Disease,Other,February 2009,,Taiwan,Asia,AS
15,NCT04648995,Acne Scar,TheTreatment of Acne Scar Using UltraPulse CO2 Laser,Device,"December 11, 2020","November 28, 2021",Taiwan,Asia,AS
16,NCT00840164,Wound|Diabetes|Amputation,"Pathology of Skin, Nerve and Vasculature in the Amputated Limb of Diabetes",,February 2009,December 2013,Taiwan,Asia,AS
17,NCT00155142,Diabetes Mellitus,Changes in Skin Innervation of Neurologically Asymptomatic Type 2 Diabetic Patients: the Correlation With the Diabetic Parameters and Neurotrophins.,,September 2004,,Taiwan,Asia,AS
18,NCT00190073,Alcohol Abuse|Peripheral Neuropathy,Cutaneous Denervation in Alcoholic Neuropathy,,January 2005,December 2005,Taiwan,Asia,AS
19,NCT04015063,Skin Aging,Efficacy and Safety of Skin Care Product in Aging Facial Skin,Other,"March 4, 2019","December 13, 2019",Taiwan,Asia,AS
20,NCT01676129,Temporomandibular Joint Disorders,Nocipoint Therapy Versus Standard Physical Therapy Using Electrical Stimulation in Treating Pain From TMJ Disorder,Procedure,July 2012,March 2013,Taiwan,Asia,AS
21,NCT03605576,Chronic Neck Pain|Sleep Quality,Remote Fu's Subcutaneous Needling for Patients With Chronic Neck Pain,Procedure,"May 1, 2018","April 12, 2019",Taiwan,Asia,AS
22,NCT03605563,Lateral Epicondylitis,Fu's Subcutaneous Needling on the Myofascial Trigger Points: Lateral Epicondylitis,Procedure,"May 1, 2018","April 28, 2019",Taiwan,Asia,AS
23,NCT05048862,Neuromuscular Diseases,The Neuroimage Study of the Neuromuscular Disorders.,Diagnostic Test,"August 1, 2021","August 1, 2031",Taiwan,Asia,AS
24,NCT01921725,Wounds,The Clinical Application and Efficacy Verification of an Innovative Carbon Fiber Dressing,Device,May 2013,,Taiwan,Asia,AS
25,NCT01598480,Burns,To Study the Healing Effect of Silver Impregnated Activated Carbon Fiber Wound Dressing on Superficial Dermal Burn,Drug,May 2012,March 2014,Taiwan,Asia,AS
26,NCT03776669,Morbid Obesity|Hiatal Hernia|Gastroesophageal Reflux Disease|Sleeve Gastrectomy,Laparoscopic Sleeve Gastrectomy With or Without Hiatal Hernia Repair in Morbidly Obese Patients,Procedure,"January 9, 2019","December 17, 2022",Taiwan,Asia,AS
27,NCT03176641,Platelet-Rich Plasma|Knee Injuries|Meniscus Disorder,Platelet-rich Plasma for Meniscus Repair,Other,"August 24, 2016","November 21, 2018",Taiwan,Asia,AS
28,NCT03314090,Cleft Lip,Silicone Gel in the Treatment of Cleft Lip Scars,Drug,"January 28, 2014","October 12, 2017",Taiwan,Asia,AS
29,NCT04211597,"Cesarean Wound|Scar; Previous Cesarean Section, Complicating Pregnancy or Childbirth, Affecting Fetus or Newborn",EGF-loaded Chitosan to Facilitate Healing and Prevent Scar Formation of Cesarean Wound,Other,"September 5, 2017","December 28, 2018",Taiwan,Asia,AS
30,NCT04088045,Knee Osteoarthritis,High Frequency Intensive Autologous PRP Injection and Genicular Nerve Blocks in Treating Knee Osteoarthritis,Device,"August 1, 2019","July 31, 2021",Taiwan,Asia,AS
31,NCT04006314,Knee Osteoarthritis,Platelet Rich Plasma and Neural Prolotherapy Injections in Treating Knee Osteoarthritis,Other,"September 4, 2018","July 31, 2020",Taiwan,Asia,AS
32,NCT01715012,Third Degree Burns|Diabetes,Study of ST266 in Diabetic Subjects With Deep Burns Managed With Skin Grafts,Biological,October 2012,March 2015,United States,North America,
33,NCT02361437,Diabetic Ulcers,Safety and Efficacy of Vasculera® in the Healing of Diabetic Skin Ulcers,Dietary Supplement,February 2015,October 2015,United States,North America,
34,NCT04134143,Diabetes|Diabetic Foot Ulcer|Non-healing Wound,Multiple Applications of ExpressGraft-C9T1 Skin Tissue as a Treatment for Diabetic Foot Ulcers,Biological,"November 7, 2019","December 30, 2020",United States,North America,
35,NCT03253328,Diabetes Mellitus|Critical Limb Ischemia|Lower Limb Amputation Knee|Peripheral Arterial Disease,N-Acetyl-Cysteine (NAC) for Healing of Amputation Stumps in the Setting of Diabetes,Drug,"December 15, 2016","December 31, 2021",United States,North America,
36,NCT00739323,Diabetes Mellitus|Healthy Volunteers,Impaired Wound Healing in Diabetic Foot Ulceration,,December 2006,September 2012,United States,North America,
37,NCT01804478,Diabetes|Healthy,Non-invasive Measurement of Microvascular Blood Flow During Mild External Compression of the Leg,Behavioral,May 2005,February 2013,United States,North America,
38,NCT00916292,Diabetic Foot Ulcers,Safety Study of Topical Human FGF-1 for Wound Healing,Drug,November 2012,September 2013,United States,North America,
39,NCT04554316,Scar|Breast Neoplasms|Breast Diseases|Surgical Wound,Aesthetic Effect of Steri-Strip Orientation on Healing and Scar Appearance in Breast Surgery,Device,"November 1, 2020","April 15, 2022",United States,North America,
40,NCT03271580,Wound|Bacterial Infections|Diabetes Mellitus|Infected Ulcer of Skin,Biofilm Modified Macrophage Phenotype and Function in Diabetic Wound Healing,Diagnostic Test,"February 1, 2020",September 2021,United States,North America,
41,NCT04591691,Diabetes|Diabetic Foot|Diabetic Foot Ulcer|Diabetic Wound,C-myc Biomarker Study for Diabetic Foot Ulcers,,"October 14, 2020",January 2023,United States,North America,
42,NCT02372539,Hyperglycemia|Cancer,Glucose Variability in Cancer Patients Receiving Dexamethasone,Other,January 2015,"October 30, 2020",United States,North America,
43,NCT03821675,Diabetes|Diabetic Foot Ulcer|Peripheral Neuropathy|Peripheral Arterial Disease,AVAZZIA Electrical Stimulation,Device,"February 28, 2019","December 15, 2021",United States,North America,
44,NCT02626156,Venous Hypertension Ulcers|Venous Stasis Ulcer|Venous Ulcer|Venous Insufficiency|Leg Ulcer|Foot Ulcer|Varicose Ulcer|Diabetic Foot,Cooling Leg and Foot Ulcer Skin Post Healing to Prevent Ulcer Recurrence,Device,"June 1, 2015","March 31, 2020",United States,North America,
45,NCT03644849,Leg Ulcer,Evaluating the Safety and Efficacy of Fractionated Carbon Dioxide Therapy in Postoperative Lower Extremity Wound Healing,Device,"September 28, 2018","November 19, 2020",United States,North America,
46,NCT03476876,Diabetic Foot Ulcer|Deep Diabetic Foot Ulcer,Comparative Effectiveness of Two Acellular Matrices (Dermacell vs. Integra) for Management of Deep Diabetic Foot Ulcers,Device,"April 2, 2018","March 15, 2022",United States,North America,
47,NCT04232631,Diabetic Foot Ulcer,Non-Invasive Testing to Evaluate Wound Healing in Diabetes,Device,"April 28, 2021",September 2022,United States,North America,
48,NCT02329366,Diabetic Foot Ulcer|Type 2 Diabetes,Development of a Cellular Biomarker for the Diagnosis and Treatment of Diabetic Foot Ulcers,Other,December 2014,December 2020,United States,North America,
49,NCT04280016,Diabetic Foot Ulcer,The Effect of Exercise on Wound Healing While Off-loading,Behavioral,March 2020,May 2021,United States,North America,
50,NCT00065663,Wounds and Injuries|Diabetes|Diabetic Foot Ulcers|Foot Wounds,Gene Therapy to Improve Wound Healing in Patients With Diabetes,Genetic,August 2002,December 2004,United States,North America,
51,NCT00355823,Wounds,Bioelectric Field Imaging Near Human Skin Wounds,,August 2006,April 2007,United States,North America,
52,NCT02015910,Type II Diabetes,Januvia (Sitagliptin) in Healing Chronic Diabetic Foot Ulcers,Drug,January 2014,January 2015,United States,North America,
53,NCT02165579,Diabetes|Foot Ulcer|Osteomyelitis,Osteomyelitis: Procalcitonin to Diagnose and Monitor Osteomyelitis,Other,June 2014,December 2014,United States,North America,
54,NCT00614341,Diabetic Peripheral Neuropathy,"Effect of Pulsing Electrical Fields on Lower Extremity Diabetic Neuropathy: A Pilot, Open-Label Study",Device,May 2006,January 2008,United States,North America,
55,NCT00366132,Chronic Diabetic Foot Ulcers,Safety & Efficacy Study for the Use of Extracorporeal Shockwaves in the Treatment of Diabetic Foot Ulcers,Device,March 2006,,United States,North America,
56,NCT00001905,Leukocyte Adhesion Deficiency Syndrome,Interferon Gamma to Treat Leukocyte Adhesion Deficiency Type I,Drug,April 1999,March 2002,United States,North America,
57,NCT02233179,Diabetic Foot,"The Association Between Unprotected Standing, Walking and Wound Healing in Diabetes",Device,June 2009,November 2012,United States,North America,
58,NCT00330265,Foot Ulcer|Diabetes,Safety and Efficacy Study of an Interactive Wound Dressing (KC002) for the Treatment of Diabetic Foot Ulcers,Device,January 2006,September 2009,United States,North America,
59,NCT04723134,Diabetic Foot Ulcer,"Evaluation of a Folic Acid Wound Treatment (FAWT) for Chronic, Early-Stage Diabetic Foot Ulcer (DFU) Healing",Combination Product,"March 1, 2021",March 2022,United States,North America,
60,NCT04285710,Diabetic Foot|Diabetic Foot Ulcer|Diabetes|Diabetes Mellitus|Infected Wound|Infected Ulcer of Skin,Adjunctive Phototherapy Treatment of Infected Diabetic Ulcers,Device,June 2021,April 2022,United States,North America,
61,NCT01831804,Wound Healing,"Safety, Tolerability, Pharmacokinetics and Pharmacodynamics Study of Single and Repeated Doses of Topical GSK1278863",Drug,"June 17, 2013","February 10, 2017",United States,North America,
62,NCT03404895,Diabetes|Diabetic Foot Ulcer|Edema,The Mount Sinai Diabetic Foot Ulcer Prospective Trial,Device,"April 13, 2018",February 2022,United States,North America,
63,NCT04240574,Diabetic Foot Ulcer|Non-healing Wound|Non-Healing Ulcer of Skin|Venous Leg Ulcer|Venous Ulcer,Debritom - Micro Water Jet Technology and Wound Healing,Device,"January 24, 2020","August 6, 2021",United States,North America,
64,NCT03827902,Diabetes Complications|Diabetes|Diabetic Foot Ulcer|Wound Infection,Diabetic Foot Ulcer and Wound Infection,Device,"July 9, 2019","April 2, 2020",United States,North America,
65,NCT01951859,Diabetic Neuropathy,Effects of a Homeopathic Anti-inflammatory Topical Cream on Ulcers and Neuropathy in the Diabetic Foot,Other,August 2013,February 2015,United States,North America,
66,NCT03960463,Surgical Wound|Diabetes|Amputation Wound|Incision Wound|Peripheral Arterial Disease|Breast Cancer|Diabetic Foot,EO2 Oxygen Delivery To Study Success Rate of Surgically Closed Wounds,Device,"May 18, 2017","January 15, 2022",United States,North America,
67,NCT02041494,"Hernia, Ventral",Complex Ventral Hernia Repair Using Biologic or Synthetic Mesh,Device,March 2014,"October 5, 2019",United States,North America,
68,NCT01221207,Diabetic Foot Ulcers,Instant Total Contact Cast to Heal Diabetic Foot Ulcers,Device,October 2010,October 2012,United States,North America,
69,NCT00318214,"Foot Ulcer, Diabetic|Diabetes Complications","Safety and Efficacy Study of MRE0094 to Treat Large, Single or Multiple, Chronic, Neuropathic, Diabetic Foot Ulcers",Drug,June 2006,February 2008,United States,North America,
70,NCT01645891,Diabetic Foot Ulcer,"A Prospective, Randomized, Double-Blind Multicenter Study Comparing Continuous Diffusion of Oxygen (CDO) Therapy to Standard Moist Wound Therapy (MWT) in the Treatment of Diabetic Foot Ulcers",Device,April 2012,November 2016,United States,North America,
71,NCT00958711,Diabetic Foot Ulcers,The Mechanism of Action of the Unite Biomatrix in Diabetic Foot Ulcer,Device,January 2009,May 2012,United States,North America,
72,NCT02632929,Diabetic Foot Ulcer,Prevention of Amputation in Diabetic Foot Ulcers Using Amniotic Tissue,,July 2015,December 2019,United States,North America,
73,NCT01539811,Diabetic Foot Infections,Diabetic Foot Infection Antibiotic Study,Procedure,February 2012,April 2012,United States,North America,
74,NCT04233580,Diabetic Foot Ulcer,Characterization of AmnioExcel Plus in Two Treatment Paradigms,Device,"July 9, 2020","June 1, 2022",United States,North America,
75,NCT00312364,"Foot Ulcer, Diabetic|Diabetes Complications","Safety and Efficacy Study of MRE0094 to Treat Chronic, Neuropathic, Diabetic Foot Ulcers",Drug,December 2005,December 2007,United States,North America,
76,NCT01835379,Diabetic Foot Ulcer,Study of Oasis Ultra in Diabetic Foot Ulcers,Device,May 2013,September 2014,United States,North America,
77,NCT01729286,"Foot Ulcer, Diabetic",Health Economic Assessment of Lower Extremity Diabetic (HEALED) Ulcers With PriMatrix,Device,September 2012,October 2016,United States,North America,
78,NCT02313428,Diabetic Foot Ulcers|Wound,Topical Oxygen Therapy for Diabetic Wounds,Device,"February 1, 2020","February 1, 2022",United States,North America,
79,NCT01824407,Diabetic Foot Ulcers,A Comparison of the dermaPACE® (Pulsed Acoustic Cellular Expression) Device in Conjunction With Standard of Care Versus Standard of Care Alone in the Treatment of Diabetic Foot Ulcers,Device,March 2013,,United States,North America,
80,NCT00617916,Diabetic Foot Ulcers,Hyperspectral Imaging to Assess and Predict Diabetic Foot Ulcers,,March 2006,September 2008,United States,North America,
81,NCT04558775,Diabetes|Diabetic Foot|Diabetic Foot Ulcer|Diabetic Wound|Diabetic,TEWL Biomarker Study for Diabetic Foot Ulcer Recurrence,Other,"June 17, 2020","September 30, 2022",United States,North America,
82,NCT02308800,"Foot Ulcer, Diabetic",Negative Pressure Wound Therapy as a Drug Delivery System (ADANPWT),Device,January 2015,December 2017,United States,North America,
83,NCT02055755,Diabetic Foot Ulcers,WEMR With Clinical Decision Support for Diabetic Foot Ulcers,,April 2013,April 2020,United States,North America,
84,NCT01816672,Diabetic Foot Ulcer,Efficacy of AutoloGel Therapy to Usual and Customary Care in Wagner gd 1 and 2 Diabetic Foot Ulcers.,Device,April 2013,July 2015,United States,North America,
85,NCT01108263,Diabetes|Foot Ulcer,Use of INTEGRA™ Flowable Wound Matrix to Manage Diabetic Foot Ulcers,Drug,June 2010,August 2011,United States,North America,
86,NCT01382628,Diabetic Foot Ulcers|Equinus Deformity,Determination of the Pathophysicologic Collagen Changes in the Diabetic Achilles Tendon,,May 2011,April 2019,United States,North America,
87,NCT02344329,Diabetic Foot Ulcers|Diabetes,A Comparison of TCC-EZ Using Human Amnion Allograft vs TCC-EZ and Standard Wound Care in Treating Diabetic Foot Ulcers.,Device,August 2014,November 2017,United States,North America,
88,NCT02463500,Diabetic Foot Ulcers|Osteomyelitis,"UT Southwestern Diabetic Foot Ulcers (DFU) and Osteomyelitis (DFO) Recruitment Database, Data and Tissue Repository",Other,January 2015,December 2022,United States,North America,
89,NCT01408277,Diabetic Foot Ulcers|Diabetic Foot Wounds,Using Santyl on Diabetic Foot Ulcers,Biological,August 2011,March 2013,United States,North America,
